#,Roboarm,2D,scan,with,the,following,settings:,,,,,
#,scan_size=0.3,,,,,,,,,,,
#,scan_step=0.05,,,,,,,,,,,
#,t=1.0,,,,,,,,,,,
#,nudge=0.05,,,,,,,,,,,
#,go_home=True,,,,,,,,,,,
#,get_data_home=False,,,,,,,,,,,
telapsed,xreal,yreal,zreal,x,y,z,col,row,power,err_power,power_home,err_power_home
1,-0.050223264781007,-0.00028326600108,0.13975211479287,-0.05,-5.55E-17,0,7,4,1.02731E-08,7.53734E-12,0,0
1,-0.000158363173371,-0.000315839701165,0.139658152505461,-5.55E-17,-5.55E-17,0,8,4,1.12438E-08,1.02269E-11,0,0
1,0.049852557045244,-0.000461508003222,0.139550463370319,0.05,-5.55E-17,0,9,4,9.42938E-09,6.02526E-12,0,0
1,0.099877401203234,-0.000440025748324,0.139513171037206,0.1,-5.55E-17,0,10,4,6.04125E-09,3.04587E-12,0,0
1,0.149872878022953,-0.000541254725565,0.139358755848207,0.15,-5.55E-17,0,11,4,3.92875E-09,1.73993E-12,0,0
1,0.199812378545791,-0.000584062073536,0.139213497051443,0.2,-5.55E-17,0,12,4,2.20438E-09,1.76085E-12,0,0
1,0.249843752704764,-0.000748031361259,0.139040606612133,0.25,-5.55E-17,0,0,5,1.20313E-09,1.15878E-12,0,0
1,0.299871308126767,-0.000727922565462,0.139010601781424,0.3,-5.55E-17,0,1,5,5.40625E-10,6.05154E-13,0,0
1,-0.300227353670631,0.050016928217093,0.140249405541016,-0.3,0.05,0,2,5,9.01875E-10,9.75781E-13,0,0
1,-0.250057465640013,0.049996372884062,0.140067478382901,-0.25,0.05,0,3,5,1.72313E-09,1.45740E-12,0,0
1,-0.200137950461679,0.049954291284226,0.140039333673574,-0.2,0.05,0,4,5,3.40000E-09,0.00000E+00,0,0
1,-0.150040105733458,0.049949451828877,0.139957849049831,-0.15,0.05,0,5,5,5.25750E-09,3.12500E-12,0,0
1,-0.100073849087275,0.049904367543461,0.139906778213483,-0.1,0.05,0,6,5,7.45375E-09,4.66662E-12,0,0
1,-0.050072179033434,0.049732432759808,0.139740799775102,-0.05,0.05,0,7,5,9.51375E-09,9.30705E-12,0,0
1,-0.000112460007606,0.049694431146243,0.139685152543342,-5.55E-17,0.05,0,8,5,1.08525E-08,8.54675E-12,0,0
1,0.049932571044073,0.049641798636837,0.139642181636793,0.05,0.05,0,9,5,8.53250E-09,6.52519E-12,0,0
1,0.099924113123138,0.049599690818736,0.139543026446399,0.1,0.05,0,10,5,5.98063E-09,2.99332E-12,0,0
1,0.149912121916577,0.049452721138529,0.139380906136242,0.15,0.05,0,11,5,3.82813E-09,9.75781E-13,0,0
1,0.199851220826578,0.049389582591474,0.139207416982322,0.2,0.05,0,12,5,2.24813E-09,1.58576E-12,0,0
1,0.249876438574532,0.049318627984,0.139129982478153,0.25,0.05,0,0,6,1.16563E-09,1.76085E-12,0,0
1,0.299904502321585,0.049142753204197,0.139008898710315,0.3,0.05,0,1,6,5.81875E-10,9.75781E-13,0,0
1,-0.250088174812058,0.099987431234042,0.140134624569204,-0.25,0.1,0,2,6,1.55313E-09,1.45740E-12,0,0
1,-0.200058830188268,0.100016212470106,0.140073572396839,-0.2,0.1,0,3,6,2.54438E-09,1.76085E-12,0,0
1,-0.150022303600715,0.099956605208041,0.140062503414864,-0.15,0.1,0,4,6,4.18313E-09,1.15878E-12,0,0
1,-0.10002330795499,0.099929920251647,0.139930255079835,-0.1,0.1,0,5,6,6.01375E-09,2.31756E-12,0,0
1,-0.050010367800755,0.099752175180029,0.139762937643993,-0.05,0.1,0,6,6,7.53438E-09,5.22679E-12,0,0
1,-3.80E-05,0.099689008340041,0.139698208595481,-5.55E-17,0.1,0,7,6,7.84875E-09,3.94048E-12,0,0
1,0.049949399900276,0.09972095170506,0.139704929613864,0.05,0.1,0,8,6,6.78438E-09,2.33331E-12,0,0
1,0.099929887393967,0.099697271674336,0.139620522490591,0.1,0.1,0,9,6,4.78688E-09,1.70449E-12,0,0
1,0.149935375919077,0.099520472449218,0.139439478164661,0.15,0.1,0,10,6,3.22000E-09,0.00000E+00,0,0
1,0.199872345237543,0.099473549845392,0.139335312545359,0.2,0.1,0,11,6,1.94000E-09,0.00000E+00,0,0
1,0.249996464579731,0.099336573394447,0.13914234510638,0.25,0.1,0,12,6,1.00625E-09,1.21031E-12,0,0
1,-0.249966741719822,0.149967525150889,0.140155096659276,-0.25,0.15,0,0,7,1.11000E-09,2.16506E-12,0,0
1,-0.199997594045853,0.149982339573923,0.140055542776782,-0.2,0.15,0,1,7,1.91250E-09,1.08253E-12,0,0
